main_speaker,num_speaker,speaker_occupation
Monica Lewinsky,1,Social activist
Morgan Spurlock,1,Filmmaker
Moshe Safdie,1,Architect
Moshe Safdie,1,Architect
Murray Gell-Mann,1,Physicist
Murray Gell-Mann,1,Physicist
Nalini Nadkarni,1,Tree researcher
Nalini Nadkarni,1,Tree researcher
Nancy Etcoff,1,Evolutionary psychologist
Nancy Kanwisher,1,Brain researcher
Nancy Lublin,1,Activist
Nandan Nilekani,1,Technologist and visionary
Natalie MacMaster,1,Fiddler
Natalie MacMaster,2,Fiddler
Natalie Merchant,1,Singer/songwriter
Natasha Tsakos,1,Artist
Nate Silver,1,Statistician
Nathalie Cabrol,1,Planetary explorer
Nathan Myhrvold,1,Polymath
Nathan Myhrvold,1,Polymath
Nathan Myhrvold,1,Polymath
Nathan Wolfe,1,Virus hunter
Nathan Wolfe,1,Virus hunter
Nathaniel Kahn,1,Filmmaker
Naturally 7,1,A capella ensemble
Negin Farsad,1,"Comedian, filmmaker"
Neil Gershenfeld,1,"Physicist, personal fab pioneer"
Neil Turok,1,"Physicist, education activist"
Nellie McKay,1,Singer/songwriter
Nellie McKay,1,Singer/songwriter
Nellie McKay,1,Singer/songwriter
Neri Oxman,1,"Architect, designer"
Ngozi Okonjo-Iweala,1,Economist
Nicholas Christakis,1,"Physician, social scientist"
Nicholas Negroponte,1,Tech visionary
Nicholas Negroponte,1,Tech visionary
Nicholas Negroponte,1,Tech visionary
Nick Bostrom,1,Philosopher
Nick Sears,1,Inventor
Niels Diffrient,1,Designer
Nilofer Merchant,1,"Corporate director, author"
Nina Jablonski,1,Anthropologist
Nina Tandon,1,Tissue engineering researcher
Noah Feldman,1,Constitutional law scholar
Noah Feldman,1,Constitutional law scholar
Noriko Arai,1,AI expert
Norman Lear,2,"Producer, activist"
Noy Thrupkaew,1,Global journalist
Olafur Eliasson,1,Sculptor of light and space
Oliver Sacks,1,Neurological anthropologist
Omar Ahmad,1,"Technologist, city councilman"
P.W. Singer,1,Military analyst
Pamela Ronald,1,Plant geneticist
Pamelia Kurstin,1,Theremin player
Paola Antonelli,1,Design curator
Parag Khanna,1,Global strategist
Patience Mthunzi,1,Laser scientist
Patricia Burchat,1,Particle physicist
Pattie Maes + Pranav Mistry,2,Researcher
Paul Collier,1,Economist
Paul Ewald,1,Evolutionary biologist
Paul Gilding,1,Writer
Paul MacCready,1,Engineer
Paul MacCready,1,Engineer
Paul Moller,1,Inventor
Paul Nicklen,1,Polar photographer
Paul Romer,1,"Chief Economist and Senior Vice President, World Bank"
Paul Rothemund,1,DNA origamist
Paul Rothemund,1,DNA origamist
Paul Sereno,1,Paleontologist
Paul Stamets,1,Mycologist
Paul Tudor Jones II,1,Investor
Penelope Boston,1,Cave scientist
Pete Alcorn,1,Media exec
Peter Calthorpe,1,Urban designer
Peter Diamandis,1,Space activist
Peter Diamandis,1,Space activist
Peter Gabriel,1,"Musician, activist"
Peter Norvig,1,Computer scientist
Peter Singer,1,"Philosopher, ethicist"
Peter Ward,1,Paleontologist
Phil Borges,1,Photographer
Phil Hansen,1,Multimedia artist
Philip K. Howard,1,Legal activist
Philip Zimbardo,1,Psychologist
Philip Zimbardo,1,Psychologist
Philip Zimbardo,1,Psychologist
Philippe Petit,1,High-wire artist
Philippe Starck,1,Designer
Pierre Thiam,1,Chef
Pilobolus,1,Dance company
Prosanta Chakrabarty,1,Ichthyologist
Quixotic Fusion,1,Performance ensemble
R. Luke DuBois,1,"Artist, composer, engineer"
Rabbi Lord Jonathan Sacks,1,Religious leader
Rachelle Garniez,2,Musician
Radhika Nagpal,1, Robotics engineer
Raffaello D'Andrea,1,Autonomous systems pioneer
Raghava KK,1,Artist
Raj Panjabi,1,Physician
Rajesh Rao,1,Computational neuroscientist
Rajiv Maheswaran,1,Researcher
Ralph Langner,1,Security consultant
Randall Munroe,1,Cartoonist
Raspyni Brothers,1,Jugglers
Raul Midon,1,Guitarist
Raul Midon,1,Guitarist
Ray Anderson,1,Sustainable-business pioneer
Ray Dalio,1,Hedge fund chair
Ray Kurzweil,1,"Inventor, futurist"
Ray Kurzweil,1,"Inventor, futurist"
Ray Kurzweil,1,"Inventor, futurist"
Ray Zahab,1,Endurance runner
Reed Kroloff,1,Architecture critic
